Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002514885,Society,Life expectancy at birth,1
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002514885,Society,Public expenditure on education,2
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.015089312,Value Chain Actors,Public sector corruption,4
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002155616,Workers,"Children in employment, total",3
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002155616,Workers,Evidence of violations of laws and employment regulations,4
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002155616,Workers,"Sector average wage, per month",2
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002155616,Workers,Trade union density,4
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002155616,Workers,Weekly hours of work per employee,3
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002155616,Workers,Women in the sectoral labour force,2
Nickel,0.754465588,New Caledonia,0.08,New Caledonia 8%,0.002155616,Workers,Workers affected by natural disasters,1
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.006035725,Local Community,Drinking water coverage,2
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.006035725,Local Community,International Migrant Stock,1
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.006035725,Local Community,Presence of indigenous population,3
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.006035725,Local Community,Sanitation coverage,4
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.004023816,Society,Embodied value added total,1
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.004023816,Society,Global Peace Index,4
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.004023816,Society,"Health expenditure, total",4
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.004023816,Society,"Illiteracy rate, total",2
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.004023816,Society,Life expectancy at birth,3
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.004023816,Society,Public expenditure on education,3
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.024142899,Value Chain Actors,Public sector corruption,5
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.003448986,Workers,"Children in employment, total",3
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.003448986,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.003448986,Workers,"Sector average wage, per month",4
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.003448986,Workers,Trade union density,5
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.003448986,Workers,Weekly hours of work per employee,3
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.003448986,Workers,Women in the sectoral labour force,5
Nickel,0.754465588,Philippines,0.128,Philippines 12.8%,0.003448986,Workers,Workers affected by natural disasters,5
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.005281259,Local Community,Drinking water coverage,5
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.005281259,Local Community,International Migrant Stock,3
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.005281259,Local Community,Presence of indigenous population,3
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.005281259,Local Community,Sanitation coverage,3
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003520839,Society,Embodied value added total,5
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003520839,Society,Global Peace Index,5
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003520839,Society,"Health expenditure, total",3
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003520839,Society,"Illiteracy rate, total",1
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003520839,Society,Life expectancy at birth,2
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003520839,Society,Public expenditure on education,3
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.021125036,Value Chain Actors,Public sector corruption,5
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003017862,Workers,"Children in employment, total",4
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003017862,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003017862,Workers,"Sector average wage, per month",2
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003017862,Workers,Trade union density,4
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003017862,Workers,Weekly hours of work per employee,4
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003017862,Workers,Women in the sectoral labour force,1
Nickel,0.754465588,Russia,0.112,Russia 11.2%,0.003017862,Workers,Workers affected by natural disasters,1
Nickel,0.754465588,Rest of the world,0.2,Rest of the world 20%,0.150893118,,,3.216541994
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,0.000240961,Local Community,Drinking water coverage,1
Cobalt,0.094693347,Australia,0.040714286,Australia 4.1%,0.000240961,Local Community,International Migrant Stock,5
