Country,Mining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Workers,Women in the sectoral labour force,1,0.000714286,Discrimination
Papua New Guinea,2%,Papua New Guinea 2%,0.001111111,Workers,Workers affected by natural disasters,3,0.000714286,Health and Safety
Philippines,3%,Philippines 3.4%,0.001865079,Local Community,Drinking water coverage,2,0.002098214,Safe and healthy living conditions
Philippines,3%,Philippines 3.4%,0.001865079,Local Community,International Migrant Stock,1,0.002098214,Migration
Philippines,3%,Philippines 3.4%,0.001865079,Local Community,Presence of indigenous population,3,0.002098214,Respect of indigenous rights
Philippines,3%,Philippines 3.4%,0.001865079,Local Community,Sanitation coverage,4,0.002098214,Safe and healthy living conditions
Philippines,3%,Philippines 3.4%,0.001865079,Society,Embodied value added total,1,0.00139881,Contribution to economic development
Philippines,3%,Philippines 3.4%,0.001865079,Society,Global Peace Index,4,0.00139881,Health and Safety
Philippines,3%,Philippines 3.4%,0.001865079,Society,"Health expenditure, total",4,0.00139881,Health and Safety
Philippines,3%,Philippines 3.4%,0.001865079,Society,"Illiteracy rate, total",2,0.00139881,Contribution to economic development
Philippines,3%,Philippines 3.4%,0.001865079,Society,Life expectancy at birth,3,0.00139881,Health and Safety
Philippines,3%,Philippines 3.4%,0.001865079,Society,Public expenditure on education,3,0.00139881,Contribution to economic development
Philippines,3%,Philippines 3.4%,0.001865079,Value Chain Actors,Public sector corruption,5,0.008392857,Corruption
Philippines,3%,Philippines 3.4%,0.001865079,Workers,"Children in employment, total",3,0.00119898,Child labour
Philippines,3%,Philippines 3.4%,0.001865079,Workers,Evidence of violations of laws and employment regulations,3,0.00119898,"Social benefits, legal issues"
Philippines,3%,Philippines 3.4%,0.001865079,Workers,"Sector average wage, per month",4,0.00119898,Fair Salary
Philippines,3%,Philippines 3.4%,0.001865079,Workers,Trade union density,5,0.00119898,Freedom of association and collective bargaining
Philippines,3%,Philippines 3.4%,0.001865079,Workers,Weekly hours of work per employee,3,0.00119898,Working time
Philippines,3%,Philippines 3.4%,0.001865079,Workers,Women in the sectoral labour force,5,0.00119898,Discrimination
Philippines,3%,Philippines 3.4%,0.001865079,Workers,Workers affected by natural disasters,5,0.00119898,Health and Safety
Russia,5%,Russia 4.5%,0.0025,Local Community,Drinking water coverage,5,0.0028125,Safe and healthy living conditions
Russia,5%,Russia 4.5%,0.0025,Local Community,International Migrant Stock,3,0.0028125,Migration
Russia,5%,Russia 4.5%,0.0025,Local Community,Presence of indigenous population,3,0.0028125,Respect of indigenous rights
Russia,5%,Russia 4.5%,0.0025,Local Community,Sanitation coverage,3,0.0028125,Safe and healthy living conditions
Russia,5%,Russia 4.5%,0.0025,Society,Embodied value added total,5,0.001875,Contribution to economic development
Russia,5%,Russia 4.5%,0.0025,Society,Global Peace Index,5,0.001875,Health and Safety
Russia,5%,Russia 4.5%,0.0025,Society,"Health expenditure, total",3,0.001875,Health and Safety
Russia,5%,Russia 4.5%,0.0025,Society,"Illiteracy rate, total",1,0.001875,Contribution to economic development
Russia,5%,Russia 4.5%,0.0025,Society,Life expectancy at birth,2,0.001875,Health and Safety
Russia,5%,Russia 4.5%,0.0025,Society,Public expenditure on education,3,0.001875,Contribution to economic development
Russia,5%,Russia 4.5%,0.0025,Value Chain Actors,Public sector corruption,5,0.01125,Corruption
Russia,5%,Russia 4.5%,0.0025,Workers,"Children in employment, total",4,0.001607143,Child labour
Russia,5%,Russia 4.5%,0.0025,Workers,Evidence of violations of laws and employment regulations,3,0.001607143,"Social benefits, legal issues"
Russia,5%,Russia 4.5%,0.0025,Workers,"Sector average wage, per month",2,0.001607143,Fair Salary
Russia,5%,Russia 4.5%,0.0025,Workers,Trade union density,4,0.001607143,Freedom of association and collective bargaining
Russia,5%,Russia 4.5%,0.0025,Workers,Weekly hours of work per employee,4,0.001607143,Working time
Russia,5%,Russia 4.5%,0.0025,Workers,Women in the sectoral labour force,1,0.001607143,Discrimination
Russia,5%,Russia 4.5%,0.0025,Workers,Workers affected by natural disasters,1,0.001607143,Health and Safety
Rest of the world,13%,Rest of the world 13.4%,0.133571429,,,3.765501708,0.133571429,
