Country,Mining share,Label,Area,Stakeholder,Indicator,,Value,Area if each stakeholder has the same weight,Subcategory
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Workers,Women in the sectoral labour force,,3,0.001035714,Discrimination
Kazakhstan,3%,Kazakhstan 2.9%,0.001611111,Workers,Workers affected by natural disasters,,1,0.001035714,Health and Safety
Mexico,3%,Mexico 3.5%,0.001916667,Local Community,Drinking water coverage,,5,0.00215625,Safe and healthy living conditions
Mexico,0.0345,Mexico 3.5%,0.001916667,Local Community,International Migrant Stock,,1,0.00215625,Migration
Mexico,0.0345,Mexico 3.5%,0.001916667,Local Community,Presence of indigenous population,,3,0.00215625,Respect of indigenous rights
Mexico,0.0345,Mexico 3.5%,0.001916667,Local Community,Sanitation coverage,,4,0.00215625,Safe and healthy living conditions
Mexico,0.0345,Mexico 3.5%,0.001916667,Society,Embodied value added total,,5,0.0014375,Contribution to economic development
Mexico,0.0345,Mexico 3.5%,0.001916667,Society,Global Peace Index,,4,0.0014375,Health and Safety
Mexico,0.0345,Mexico 3.5%,0.001916667,Society,"Health expenditure, total",,3,0.0014375,Health and Safety
Mexico,0.0345,Mexico 3.5%,0.001916667,Society,"Illiteracy rate, total",,3,0.0014375,Contribution to economic development
Mexico,0.0345,Mexico 3.5%,0.001916667,Society,Life expectancy at birth,,1,0.0014375,Health and Safety
Mexico,0.0345,Mexico 3.5%,0.001916667,Society,Public expenditure on education,,2,0.0014375,Contribution to economic development
Mexico,0.0345,Mexico 3.5%,0.001916667,Value Chain Actors,Public sector corruption,,5,0.008625,Corruption
Mexico,0.0345,Mexico 3.5%,0.001916667,Workers,"Children in employment, total",,3,0.001232143,Child labour
Mexico,0.0345,Mexico 3.5%,0.001916667,Workers,Evidence of violations of laws and employment regulations,,3,0.001232143,"Social benefits, legal issues"
Mexico,0.0345,Mexico 3.5%,0.001916667,Workers,"Sector average wage, per month",,3,0.001232143,Fair Salary
Mexico,0.0345,Mexico 3.5%,0.001916667,Workers,Trade union density,,5,0.001232143,Freedom of association and collective bargaining
Mexico,0.0345,Mexico 3.5%,0.001916667,Workers,Weekly hours of work per employee,,3,0.001232143,Working time
Mexico,0.0345,Mexico 3.5%,0.001916667,Workers,Women in the sectoral labour force,,4,0.001232143,Discrimination
Mexico,0.0345,Mexico 3.5%,0.001916667,Workers,Workers affected by natural disasters,,1,0.001232143,Health and Safety
Peru,0.11,Peru 11%,0.006111111,Local Community,Drinking water coverage,,5,0.006875,Safe and healthy living conditions
Peru,0.11,Peru 11%,0.006111111,Local Community,International Migrant Stock,,1,0.006875,Migration
Peru,0.11,Peru 11%,0.006111111,Local Community,Presence of indigenous population,,3,0.006875,Respect of indigenous rights
Peru,0.11,Peru 11%,0.006111111,Local Community,Sanitation coverage,,5,0.006875,Safe and healthy living conditions
Peru,0.11,Peru 11%,0.006111111,Society,Embodied value added total,,5,0.004583333,Contribution to economic development
Peru,0.11,Peru 11%,0.006111111,Society,Global Peace Index,,2,0.004583333,Health and Safety
Peru,0.11,Peru 11%,0.006111111,Society,"Health expenditure, total",,3,0.004583333,Health and Safety
Peru,0.11,Peru 11%,0.006111111,Society,"Illiteracy rate, total",,3,0.004583333,Contribution to economic development
Peru,0.11,Peru 11%,0.006111111,Society,Life expectancy at birth,,2,0.004583333,Health and Safety
Peru,0.11,Peru 11%,0.006111111,Society,Public expenditure on education,,3,0.004583333,Contribution to economic development
Peru,0.11,Peru 11%,0.006111111,Value Chain Actors,Public sector corruption,,5,0.0275,Corruption
Peru,0.11,Peru 11%,0.006111111,Workers,"Children in employment, total",,5,0.003928571,Child labour
Peru,0.11,Peru 11%,0.006111111,Workers,Evidence of violations of laws and employment regulations,,3,0.003928571,"Social benefits, legal issues"
Peru,0.11,Peru 11%,0.006111111,Workers,"Sector average wage, per month",,3,0.003928571,Fair Salary
Peru,0.11,Peru 11%,0.006111111,Workers,Trade union density,,5,0.003928571,Freedom of association and collective bargaining
Peru,0.11,Peru 11%,0.006111111,Workers,Weekly hours of work per employee,,2,0.003928571,Working time
Peru,0.11,Peru 11%,0.006111111,Workers,Women in the sectoral labour force,,5,0.003928571,Discrimination
Peru,0.11,Peru 11%,0.006111111,Workers,Workers affected by natural disasters,,2,0.003928571,Health and Safety
Russia,0.0425,Russia 4.3%,0.002361111,Local Community,Drinking water coverage,,5,0.00265625,Safe and healthy living conditions
Russia,0.0425,Russia 4.3%,0.002361111,Local Community,International Migrant Stock,,3,0.00265625,Migration
Russia,0.0425,Russia 4.3%,0.002361111,Local Community,Presence of indigenous population,,3,0.00265625,Respect of indigenous rights
Russia,0.0425,Russia 4.3%,0.002361111,Local Community,Sanitation coverage,,3,0.00265625,Safe and healthy living conditions
Russia,0.0425,Russia 4.3%,0.002361111,Society,Embodied value added total,,5,0.001770833,Contribution to economic development
Russia,0.0425,Russia 4.3%,0.002361111,Society,Global Peace Index,,5,0.001770833,Health and Safety
Russia,0.0425,Russia 4.3%,0.002361111,Society,"Health expenditure, total",,3,0.001770833,Health and Safety
Russia,0.0425,Russia 4.3%,0.002361111,Society,"Illiteracy rate, total",,1,0.001770833,Contribution to economic development
Russia,0.0425,Russia 4.3%,0.002361111,Society,Life expectancy at birth,,2,0.001770833,Health and Safety
Russia,0.0425,Russia 4.3%,0.002361111,Society,Public expenditure on education,,3,0.001770833,Contribution to economic development
Russia,0.0425,Russia 4.3%,0.002361111,Value Chain Actors,Public sector corruption,,5,0.010625,Corruption
Russia,0.0425,Russia 4.3%,0.002361111,Workers,"Children in employment, total",,4,0.001517857,Child labour
Russia,0.0425,Russia 4.3%,0.002361111,Workers,Evidence of violations of laws and employment regulations,,3,0.001517857,"Social benefits, legal issues"
Russia,0.0425,Russia 4.3%,0.002361111,Workers,"Sector average wage, per month",,2,0.001517857,Fair Salary
Russia,0.0425,Russia 4.3%,0.002361111,Workers,Trade union density,,4,0.001517857,Freedom of association and collective bargaining
Russia,0.0425,Russia 4.3%,0.002361111,Workers,Weekly hours of work per employee,,4,0.001517857,Working time
Russia,0.0425,Russia 4.3%,0.002361111,Workers,Women in the sectoral labour force,,1,0.001517857,Discrimination
Russia,0.0425,Russia 4.3%,0.002361111,Workers,Workers affected by natural disasters,,1,0.001517857,Health and Safety
USA,0.06,USA 6%,0.003333333,Local Community,Drinking water coverage,,1,0.00375,Safe and healthy living conditions
USA,0.06,USA 6%,0.003333333,Local Community,International Migrant Stock,,4,0.00375,Migration
USA,0.06,USA 6%,0.003333333,Local Community,Presence of indigenous population,,0,0.00375,Respect of indigenous rights
USA,0.06,USA 6%,0.003333333,Local Community,Sanitation coverage,,3,0.00375,Safe and healthy living conditions
USA,0.06,USA 6%,0.003333333,Society,Embodied value added total,,5,0.0025,Contribution to economic development
USA,0.06,USA 6%,0.003333333,Society,Global Peace Index,,1,0.0025,Health and Safety
USA,0.06,USA 6%,0.003333333,Society,"Health expenditure, total",,1,0.0025,Health and Safety
USA,0.06,USA 6%,0.003333333,Society,"Illiteracy rate, total",,1,0.0025,Contribution to economic development
USA,0.06,USA 6%,0.003333333,Society,Life expectancy at birth,,1,0.0025,Health and Safety
USA,0.06,USA 6%,0.003333333,Society,Public expenditure on education,,2,0.0025,Contribution to economic development
USA,0.06,USA 6%,0.003333333,Value Chain Actors,Public sector corruption,,2,0.015,Corruption
USA,0.06,USA 6%,0.003333333,Workers,"Children in employment, total",,2,0.002142857,Child labour
USA,0.06,USA 6%,0.003333333,Workers,Evidence of violations of laws and employment regulations,,1,0.002142857,"Social benefits, legal issues"
USA,0.06,USA 6%,0.003333333,Workers,"Sector average wage, per month",,1,0.002142857,Fair Salary
USA,0.06,USA 6%,0.003333333,Workers,Trade union density,,5,0.002142857,Freedom of association and collective bargaining
USA,0.06,USA 6%,0.003333333,Workers,Weekly hours of work per employee,,2,0.002142857,Working time
USA,0.06,USA 6%,0.003333333,Workers,Women in the sectoral labour force,,3,0.002142857,Discrimination
USA,0.06,USA 6%,0.003333333,Workers,Workers affected by natural disasters,,1,0.002142857,Health and Safety
Zambia,0.0415,Zambia 4.2%,0.002305556,Local Community,Drinking water coverage,,5,0.00259375,Safe and healthy living conditions
Zambia,0.0415,Zambia 4.2%,0.002305556,Local Community,International Migrant Stock,,1,0.00259375,Migration
Zambia,0.0415,Zambia 4.2%,0.002305556,Local Community,Presence of indigenous population,,3,0.00259375,Respect of indigenous rights
Zambia,0.0415,Zambia 4.2%,0.002305556,Local Community,Sanitation coverage,,4,0.00259375,Safe and healthy living conditions
Zambia,0.0415,Zambia 4.2%,0.002305556,Society,Embodied value added total,,3,0.001729167,Contribution to economic development
Zambia,0.0415,Zambia 4.2%,0.002305556,Society,Global Peace Index,,2,0.001729167,Health and Safety
Zambia,0.0415,Zambia 4.2%,0.002305556,Society,"Health expenditure, total",,4,0.001729167,Health and Safety
Zambia,0.0415,Zambia 4.2%,0.002305556,Society,"Illiteracy rate, total",,5,0.001729167,Contribution to economic development
Zambia,0.0415,Zambia 4.2%,0.002305556,Society,Life expectancy at birth,,4,0.001729167,Health and Safety
Zambia,0.0415,Zambia 4.2%,0.002305556,Society,Public expenditure on education,,2,0.001729167,Contribution to economic development
Zambia,0.0415,Zambia 4.2%,0.002305556,Value Chain Actors,Public sector corruption,,5,0.010375,Corruption
Zambia,0.0415,Zambia 4.2%,0.002305556,Workers,"Children in employment, total",,5,0.001482143,Child labour
Zambia,0.0415,Zambia 4.2%,0.002305556,Workers,Evidence of violations of laws and employment regulations,,4,0.001482143,"Social benefits, legal issues"
Zambia,0.0415,Zambia 4.2%,0.002305556,Workers,"Sector average wage, per month",,1,0.001482143,Fair Salary
Zambia,0.0415,Zambia 4.2%,0.002305556,Workers,Trade union density,,4,0.001482143,Freedom of association and collective bargaining
Zambia,0.0415,Zambia 4.2%,0.002305556,Workers,Weekly hours of work per employee,,3,0.001482143,Working time
Zambia,0.0415,Zambia 4.2%,0.002305556,Workers,Women in the sectoral labour force,,4,0.001482143,Discrimination
Zambia,0.0415,Zambia 4.2%,0.002305556,Workers,Workers affected by natural disasters,,1,0.001482143,Health and Safety
Rest of the world,0.204,Rest of the world 20.4%,0.204,,,,3.004707316,0.204,
