Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Philippines,0.072729792,Philippines 7.3%,0.004040544,Local Community,Sanitation coverage,4,0.004545612,Safe and healthy living conditions
Philippines,0.072729792,Philippines 7.3%,0.004040544,Society,Embodied value added total,3,0.003030408,Contribution to economic development
Philippines,0.072729792,Philippines 7.3%,0.004040544,Society,Global Peace Index,4,0.003030408,Health and Safety
Philippines,0.072729792,Philippines 7.3%,0.004040544,Society,"Health expenditure, total",4,0.003030408,Health and Safety
Philippines,0.072729792,Philippines 7.3%,0.004040544,Society,"Illiteracy rate, total",2,0.003030408,Contribution to economic development
Philippines,0.072729792,Philippines 7.3%,0.004040544,Society,Life expectancy at birth,3,0.003030408,Health and Safety
Philippines,0.072729792,Philippines 7.3%,0.004040544,Society,Public expenditure on education,3,0.003030408,Contribution to economic development
Philippines,0.072729792,Philippines 7.3%,0.004040544,Value Chain Actors,Public sector corruption,5,0.018182448,Corruption
Philippines,0.072729792,Philippines 7.3%,0.004040544,Workers,"Children in employment, total",3,0.002597493,Child labour
Philippines,0.072729792,Philippines 7.3%,0.004040544,Workers,Evidence of violations of laws and employment regulations,3,0.002597493,"Social benefits, legal issues"
Philippines,0.072729792,Philippines 7.3%,0.004040544,Workers,"Sector average wage, per month",4,0.002597493,Fair Salary
Philippines,0.072729792,Philippines 7.3%,0.004040544,Workers,Trade union density,5,0.002597493,Freedom of association and collective bargaining
Philippines,0.072729792,Philippines 7.3%,0.004040544,Workers,Weekly hours of work per employee,2,0.002597493,Working time
Philippines,0.072729792,Philippines 7.3%,0.004040544,Workers,Women in the sectoral labour force,1,0.002597493,Discrimination
Philippines,0.072729792,Philippines 7.3%,0.004040544,Workers,Workers affected by natural disasters,5,0.002597493,Health and Safety
Russia,0.090086217,Russia 9%,0.00500479,Local Community,Drinking water coverage,5,0.005630389,Safe and healthy living conditions
Russia,0.090086217,Russia 9%,0.00500479,Local Community,International Migrant Stock,3,0.005630389,Migration
Russia,0.090086217,Russia 9%,0.00500479,Local Community,Presence of indigenous population,3,0.005630389,Respect of indigenous rights
Russia,0.090086217,Russia 9%,0.00500479,Local Community,Sanitation coverage,3,0.005630389,Safe and healthy living conditions
Russia,0.090086217,Russia 9%,0.00500479,Society,Embodied value added total,3,0.003753592,Contribution to economic development
