Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Norway,3%,Norway 3.2%,0.001780035,Society,Embodied value added total,5,0.001335026,Contribution to economic development
Norway,3%,Norway 3.2%,0.001780035,Society,Global Peace Index,2,0.001335026,Health and Safety
Norway,3%,Norway 3.2%,0.001780035,Society,"Health expenditure, total",2,0.001335026,Health and Safety
Norway,3%,Norway 3.2%,0.001780035,Society,"Illiteracy rate, total",1,0.001335026,Contribution to economic development
Norway,3%,Norway 3.2%,0.001780035,Society,Life expectancy at birth,0,0.001335026,Health and Safety
Norway,3%,Norway 3.2%,0.001780035,Society,Public expenditure on education,1,0.001335026,Contribution to economic development
Norway,3%,Norway 3.2%,0.001780035,Value Chain Actors,Public sector corruption,1,0.008010155,Corruption
Norway,3%,Norway 3.2%,0.001780035,Workers,"Children in employment, total",3,0.001144308,Child labour
Norway,3%,Norway 3.2%,0.001780035,Workers,Evidence of violations of laws and employment regulations,3,0.001144308,"Social benefits, legal issues"
Norway,3%,Norway 3.2%,0.001780035,Workers,"Sector average wage, per month",1,0.001144308,Fair Salary
Norway,3%,Norway 3.2%,0.001780035,Workers,Trade union density,3,0.001144308,Freedom of association and collective bargaining
Norway,3%,Norway 3.2%,0.001780035,Workers,Weekly hours of work per employee,3,0.001144308,Working time
Norway,3%,Norway 3.2%,0.001780035,Workers,Women in the sectoral labour force,3,0.001144308,Discrimination
Norway,3%,Norway 3.2%,0.001780035,Workers,Workers affected by natural disasters,1,0.001144308,Health and Safety
Rest of the world,6%,Rest of the world 5.8%,0.058392818,,,2.943850935,0.058392818,
