Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.005028866,Local Community,Presence of indigenous population,3
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.005028866,Local Community,Sanitation coverage,3
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.003352578,Society,Embodied value added total,5
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.003352578,Society,Global Peace Index,1
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.003352578,Society,"Health expenditure, total",3
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.003352578,Society,"Illiteracy rate, total",3
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.003352578,Society,Life expectancy at birth,0
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.003352578,Society,Public expenditure on education,2
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.020115465,Value Chain Actors,Public sector corruption,2
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.002873638,Workers,"Children in employment, total",2
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.002873638,Workers,Evidence of violations of laws and employment regulations,3
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.002873638,Workers,"Sector average wage, per month",1
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.002873638,Workers,Trade union density,5
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.002873638,Workers,Weekly hours of work per employee,3
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.002873638,Workers,Women in the sectoral labour force,4
Manganese,0.451074067,Australia,0.178378378,Australia 17.8%,0.002873638,Workers,Workers affected by natural disasters,1
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001828679,Local Community,Drinking water coverage,1
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001828679,Local Community,International Migrant Stock,1
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001828679,Local Community,Presence of indigenous population,3
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001828679,Local Community,Sanitation coverage,4
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001219119,Society,Embodied value added total,5
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001219119,Society,Global Peace Index,3
Manganese,0.451074067,Brazil,0.064864865,Brazil 6.5%,0.001219119,Society,"Health expenditure, total",2
